n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
0,1,1,1,1,1,1,4194304,0,0.418103,3823.484
1,1,1,1,1,1,2,2097152,0,0.419731,3863.384
2,1,1,1,1,1,4,1048576,0,0.423192,3948.238
3,1,1,1,1,2,1,4194304,0,0.708004,4161.038
4,1,1,1,1,2,2,2097152,0,0.706484,4194.288
5,1,1,1,1,2,4,1048576,0,0.708848,4307.87
6,1,1,1,1,4,1,4194304,0,0.695779,4285.26
7,1,1,1,1,4,2,2097152,0,0.69713,4362.4
8,1,1,1,1,4,4,1048576,0,0.714013,4512.158
9,1,1,1,1,8,1,4194304,0,0.695576,4531.31
10,1,1,1,1,8,2,2097152,0,0.695239,4658.192
11,1,1,1,1,8,4,1048576,0,0.709251,4793.586
12,1,1,1,2,1,1,4194304,0,0.696488,4177.796
13,1,1,1,2,1,2,2097152,0,0.701047,4227.538
14,1,1,1,2,1,4,1048576,0,0.711012,4336.066
15,1,1,1,2,2,1,4194304,0,0.697028,4296.166
16,1,1,1,2,2,2,2097152,0,0.713744,4396.714
17,1,1,1,2,2,4,1048576,0,0.698716,4481.568
18,1,1,1,2,4,1,4194304,0,0.692233,4729.48
19,1,1,1,2,4,2,2097152,0,0.697973,4644.094
20,1,1,1,2,4,4,1048576,0,0.720766,4786.936
21,1,1,1,2,8,1,4194304,0,0.692199,5499.55
22,1,1,1,2,8,2,2097152,0,0.695576,5249.51
23,1,1,1,2,8,4,1048576,0,0.702835,6304.466
24,1,1,1,4,1,1,4194304,0,0.696487,4404.96
25,1,1,1,4,1,2,2097152,0,0.705607,4493.538
26,1,1,1,4,1,4,1048576,0,0.710336,4570.412
27,1,1,1,4,2,1,4194304,0,0.697365,5001.332
28,1,1,1,4,2,2,2097152,0,0.715264,4901.05
29,1,1,1,4,2,4,1048576,0,0.699729,4991.49
30,1,1,1,4,4,1,4194304,0,0.695103,4891.74
31,1,1,1,4,4,2,2097152,0,0.697973,4963.294
32,1,1,1,4,4,4,1048576,0,0.712493,5142.046
33,1,1,1,4,8,1,4194304,0,0.715328,6557.166
34,1,1,1,4,8,2,2097152,0,0.697095,7173.488
35,1,1,1,4,8,4,1048576,0,0.69777,7258.342
36,1,1,1,8,1,1,4194304,0,0.685003,4879.77
37,1,1,1,8,1,2,2097152,0,0.696994,5031.39
38,1,1,1,8,1,4,1048576,0,0.703918,5063.842
39,1,1,1,8,2,1,4194304,0,0.699729,5647.446
40,1,1,1,8,2,2,2097152,0,0.701586,5724.852
41,1,1,1,8,2,4,1048576,0,0.716108,5999.364
42,1,1,1,8,4,1,4194304,0,0.690713,5809.706
43,1,1,1,8,4,2,2097152,0,0.706415,5981.808
44,1,1,1,8,4,4,1048576,0,0.715363,5993.778
48,1,1,2,1,1,1,4194304,0,0.557948,4511.626
49,1,1,2,1,1,2,2097152,0,0.561574,4676.28
50,1,1,2,1,1,4,1048576,0,0.560365,4575.732
51,1,1,2,1,2,1,4194304,0,0.701593,4748.632
52,1,1,2,1,2,2,2097152,0,0.703104,4790.128
53,1,1,2,1,2,4,1048576,0,0.707299,4613.77
