n,knob_MAT_SIZE,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,knob_SUBDIM_X,knob_SUBDIM_Y,B,knob_DATA_BLOCK,obj1,obj2
0,1024,1,1,1,1,1,0,1048576,15.457636,33
1,1024,1,1,1,1,1,0,524288,8.676783,59
2,1024,1,1,1,1,1,0,262144,7.97387,112
3,1024,1,1,1,1,2,0,1048576,19.110871,35
4,1024,1,1,1,1,2,0,524288,21.029105,42
5,1024,1,1,1,1,2,0,262144,26.847746,105
6,1024,1,1,1,1,4,0,1048576,17.345278,30
7,1024,1,1,1,1,4,0,524288,7.509534,50
8,1024,1,1,1,1,4,0,262144,11.421478,104
9,1024,1,1,1,1,8,0,1048576,16.759359,30
10,1024,1,1,1,1,8,0,524288,7.029527,44
11,1024,1,1,1,1,8,0,262144,11.435995,104
12,1024,1,1,1,1,16,0,1048576,16.72401,32
13,1024,1,1,1,1,16,0,524288,7.728395,52
14,1024,1,1,1,1,16,0,262144,10.970503,112
15,1024,1,1,1,2,1,0,1048576,8.55609,27
16,1024,1,1,1,2,1,0,524288,7.369714,58
17,1024,1,1,1,2,1,0,262144,6.270382,120
18,1024,1,1,1,2,2,0,1048576,9.258887,39
19,1024,1,1,1,2,2,0,524288,9.492052,53
20,1024,1,1,1,2,2,0,262144,13.640124,111
21,1024,1,1,1,2,4,0,1048576,7.281409,42
22,1024,1,1,1,2,4,0,524288,6.073079,56
23,1024,1,1,1,2,4,0,262144,8.154479,97
24,1024,1,1,1,2,8,0,1048576,5.785945,39
25,1024,1,1,1,2,8,0,524288,6.648968,48
26,1024,1,1,1,2,8,0,262144,10.114491,94
27,1024,1,1,1,2,16,0,1048576,6.131051,45
28,1024,1,1,1,2,16,0,524288,7.082137,49
29,1024,1,1,1,2,16,0,262144,7.671218,98
30,1024,1,1,1,4,1,0,1048576,8.374373,34
31,1024,1,1,1,4,1,0,524288,6.816875,54
32,1024,1,1,1,4,1,0,262144,7.239302,96
33,1024,1,1,1,4,2,0,1048576,7.978151,35
34,1024,1,1,1,4,2,0,524288,7.981912,61
35,1024,1,1,1,4,2,0,262144,8.707882,108
