Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,4.163578679146299,catapult,Area,10241.798,FF,574,catapult_asic_area
Throughput,4.157692979319635,catapult,Area,10495.296,FF,579,catapult_asic_area
Throughput,4.344935760124787,catapult,Area,11525.514,FF,615,catapult_asic_area
Throughput,4.248593715480176,catapult,Area,12523.280,FF,620,catapult_asic_area
Throughput,4.163162671418223,catapult,Area,15345.008,FF,716,catapult_asic_area
Throughput,4.132009437509555,catapult,Area,18935.477,FF,833,catapult_asic_area
Throughput,4.032258064516129,catapult,Area,25508.602,FF,1000,catapult_asic_area
Throughput,4.241961482989734,catapult,Area,11457.950,FF,664,catapult_asic_area
Throughput,4.152668712548119,catapult,Area,12588.450,FF,685,catapult_asic_area
Throughput,4.360186267157333,catapult,Area,12600.952,FF,696,catapult_asic_area
Throughput,4.198805020091282,catapult,Area,14200.942,FF,743,catapult_asic_area
Throughput,3.7368928483344668,catapult,Area,15993.782,FF,769,catapult_asic_area
Throughput,4.109814236396515,catapult,Area,25569.516,FF,942,catapult_asic_area
Throughput,3.791771098362334,catapult,Area,13007.666,FF,753,catapult_asic_area
Throughput,4.121365985542249,catapult,Area,13342.028,FF,750,catapult_asic_area
Throughput,4.117530799130377,catapult,Area,14320.110,FF,800,catapult_asic_area
Throughput,3.85199109419659,catapult,Area,15315.216,FF,821,catapult_asic_area
Throughput,3.3233080208039083,catapult,Area,16690.969,FF,838,catapult_asic_area
Throughput,4.32696260206223,catapult,Area,14093.478,FF,796,catapult_asic_area
Throughput,4.2061342261554255,catapult,Area,13969.522,FF,800,catapult_asic_area
Throughput,4.231478817217041,catapult,Area,15431.990,FF,840,catapult_asic_area
Throughput,4.277910155330918,catapult,Area,17818.543,FF,878,catapult_asic_area
Throughput,4.264537809392218,catapult,Area,27343.203,FF,1706,catapult_asic_area
Throughput,3.817522427944264,catapult,Area,13624.254,FF,817,catapult_asic_area
Throughput,4.211519347719884,catapult,Area,14222.754,FF,815,catapult_asic_area
Throughput,4.010266281681104,catapult,Area,15870.624,FF,864,catapult_asic_area
Throughput,3.298337967498178,catapult,Area,18927.496,FF,909,catapult_asic_area
Throughput,4.163578679146299,catapult,Area,10241.798,FF,574,catapult_asic_area
Throughput,4.157692979319635,catapult,Area,10495.296,FF,579,catapult_asic_area
Throughput,4.344935760124787,catapult,Area,11525.514,FF,615,catapult_asic_area
Throughput,4.248593715480176,catapult,Area,12523.280,FF,620,catapult_asic_area
Throughput,4.163162671418223,catapult,Area,15345.008,FF,716,catapult_asic_area
Throughput,4.132009437509555,catapult,Area,18935.477,FF,833,catapult_asic_area
Throughput,4.032258064516129,catapult,Area,25508.602,FF,1000,catapult_asic_area
Throughput,4.241961482989734,catapult,Area,11457.950,FF,664,catapult_asic_area
Throughput,4.152668712548119,catapult,Area,12588.450,FF,685,catapult_asic_area
Throughput,4.360186267157333,catapult,Area,12600.952,FF,696,catapult_asic_area
Throughput,4.198805020091282,catapult,Area,14200.942,FF,743,catapult_asic_area
Throughput,3.7368928483344668,catapult,Area,15993.782,FF,769,catapult_asic_area
Throughput,4.109814236396515,catapult,Area,25569.516,FF,942,catapult_asic_area
Throughput,3.791771098362334,catapult,Area,13007.666,FF,753,catapult_asic_area
Throughput,4.121365985542249,catapult,Area,13342.028,FF,750,catapult_asic_area
Throughput,4.117530799130377,catapult,Area,14320.110,FF,800,catapult_asic_area
Throughput,3.85199109419659,catapult,Area,15315.216,FF,821,catapult_asic_area
Throughput,3.3233080208039083,catapult,Area,16690.969,FF,838,catapult_asic_area
Throughput,3.6651786041533803,catapult,Area,21223.607,FF,875,catapult_asic_area
Throughput,4.32696260206223,catapult,Area,14093.478,FF,796,catapult_asic_area
Throughput,4.2061342261554255,catapult,Area,13969.522,FF,800,catapult_asic_area
Throughput,4.231478817217041,catapult,Area,15431.990,FF,840,catapult_asic_area
Throughput,4.277910155330918,catapult,Area,17818.543,FF,878,catapult_asic_area
Throughput,3.817522427944264,catapult,Area,13624.254,FF,817,catapult_asic_area
Throughput,4.211519347719884,catapult,Area,14222.754,FF,815,catapult_asic_area
Throughput,4.010266281681104,catapult,Area,15870.624,FF,864,catapult_asic_area
Throughput,3.8896581768394194,catapult,Area,16932.496,FF,879,catapult_asic_area
Throughput,3.298337967498178,catapult,Area,18927.496,FF,909,catapult_asic_area
Throughput,4.163578679146299,catapult,Area,10241.798,FF,574,catapult_asic_area
Throughput,4.157692979319635,catapult,Area,10495.296,FF,579,catapult_asic_area
Throughput,4.344935760124787,catapult,Area,11525.514,FF,615,catapult_asic_area
Throughput,4.248593715480176,catapult,Area,12523.280,FF,620,catapult_asic_area
Throughput,4.163162671418223,catapult,Area,15345.008,FF,716,catapult_asic_area
